producto,categoria
Ahuyama,Hortalizas y verduras
Arveja verde en vaina,Hortalizas y verduras
Cebolla cabezona blanca,Hortalizas y verduras
Cebolla junca,Hortalizas y verduras
Chócolo mazorca,Hortalizas y verduras
Fríjol verde*,Hortalizas y verduras
Habichuela,Hortalizas y verduras
Lechuga Batavia,Hortalizas y verduras
Pepino cohombro,Hortalizas y verduras
Pimentón,Hortalizas y verduras
Remolacha,Hortalizas y verduras
Repollo blanco,Hortalizas y verduras
Tomate*,Hortalizas y verduras
Zanahoria,Hortalizas y verduras
Aguacate papelillo,Frutas frescas
Banano*,Frutas frescas
Coco,Frutas frescas
Granadilla,Frutas frescas
Guayaba pera,Frutas frescas
Limón Tahití,Frutas frescas
Lulo,Frutas frescas
Mandarina*,Frutas frescas
Mango Tommy,Frutas frescas
Manzana verde importada,Frutas frescas
Maracuyá,Frutas frescas
Mora de Castilla,Frutas frescas
Naranja*,Frutas frescas
Papaya*,Frutas frescas
Pera importada,Frutas frescas
Piña gold,Frutas frescas
Tomate de árbol,Frutas frescas
Uva red globe nacional,Frutas frescas
Arracacha*,Tubérculos y plátanos
Papa negra*,Tubérculos y plátanos
Papa criolla limpia,Tubérculos y plátanos
Plátano hartón verde,Tubérculos y plátanos
Yuca*,Tubérculos y plátanos
Arroz de primera,"Granos, cárnicos y procesados"
Arveja verde seca importada,"Granos, cárnicos y procesados"
Fríjol seco*,"Granos, cárnicos y procesados"
Garbanzo importado,"Granos, cárnicos y procesados"
Lenteja importada,"Granos, cárnicos y procesados"
Maíz blanco trillado,"Granos, cárnicos y procesados"
Huevo tipo A**,"Granos, cárnicos y procesados"
Queso costeño,"Granos, cárnicos y procesados"
"Carne de cerdo, lomo sin hueso","Granos, cárnicos y procesados"
"Carne de res, bola de pierna","Granos, cárnicos y procesados"
Pechuga de pollo,"Granos, cárnicos y procesados"
Aceite vegetal mezcla**,"Granos, cárnicos y procesados"
Azúcar sulfitada,"Granos, cárnicos y procesados"
Café molido,"Granos, cárnicos y procesados"
Galletas saladas,"Granos, cárnicos y procesados"
Harina de trigo,"Granos, cárnicos y procesados"
Harina precocida de maíz,"Granos, cárnicos y procesados"
Jugo instantáneo (sobre),"Granos, cárnicos y procesados"
Lomitos de atún en lata,"Granos, cárnicos y procesados"
Margarina,"Granos, cárnicos y procesados"
Mayonesa doy pack,"Granos, cárnicos y procesados"
Panela*,"Granos, cárnicos y procesados"
Pastas alimenticias,"Granos, cárnicos y procesados"
Sal yodada,"Granos, cárnicos y procesados"
Salsa de tomate doy pack,"Granos, cárnicos y procesados"
Sardinas en lata,"Granos, cárnicos y procesados"
Limón común,Frutas frescas
Manzana royal gala importada,Frutas frescas
Huevo tipo AA**,"Granos, cárnicos y procesados"
"Carne de res, lomo fino","Granos, cárnicos y procesados"
Arracacha*,"Tubérculos, raíces y plátanos"
Papa negra*,"Tubérculos, raíces y plátanos"
Papa criolla limpia,"Tubérculos, raíces y plátanos"
Plátano hartón verde,"Tubérculos, raíces y plátanos"
Yuca*,"Tubérculos, raíces y plátanos"
"Carne de res, chatas","Granos, cárnicos y procesados"
Café instantáneo,"Granos, cárnicos y procesados"
