producto,ciudad,precio_kg,var_mensual_porcentaje,periodo
Ahuyama,Barranquilla,983.0,-6.02,2026-04-01
Arveja verde en vaina,Barranquilla,10236.0,2.78,2026-04-01
Cebolla cabezona blanca,Barranquilla,2279.0,36.55,2026-04-01
Cebolla junca,Barranquilla,3231.0,-4.32,2026-04-01
Fríjol verde*,Barranquilla,10142.0,1.64,2026-04-01
Habichuela,Barranquilla,3490.0,-28.53,2026-04-01
Lechuga Batavia,Barranquilla,3411.0,11.8,2026-04-01
Pepino cohombro,Barranquilla,1344.0,-2.25,2026-04-01
Pimentón,Barranquilla,4634.0,18.64,2026-04-01
Remolacha,Barranquilla,2485.0,-0.44,2026-04-01
Repollo blanco,Barranquilla,1478.0,6.33,2026-04-01
Tomate*,Barranquilla,4319.0,23.58,2026-04-01
Zanahoria,Barranquilla,1757.0,2.51,2026-04-01
Aguacate papelillo,Barranquilla,11725.0,10.22,2026-04-01
Banano*,Barranquilla,1497.0,-1.19,2026-04-01
Coco,Barranquilla,4725.0,-5.69,2026-04-01
Guayaba pera,Barranquilla,4764.0,21.28,2026-04-01
Limón Tahití,Barranquilla,5160.0,36.11,2026-04-01
Lulo,Barranquilla,7081.0,5.12,2026-04-01
Mango Tommy,Barranquilla,3438.0,-13.81,2026-04-01
Maracuyá,Barranquilla,5578.0,-20.61,2026-04-01
Mora de Castilla,Barranquilla,7646.0,3.94,2026-04-01
Naranja*,Barranquilla,2472.0,2.91,2026-04-01
Papaya*,Barranquilla,2948.0,10.37,2026-04-01
Piña gold,Barranquilla,4082.0,-16.16,2026-04-01
Tomate de árbol,Barranquilla,4186.0,7.33,2026-04-01
Papa negra*,Barranquilla,1687.0,23.41,2026-04-01
Papa criolla limpia,Barranquilla,5927.0,28.79,2026-04-01
Plátano hartón verde,Barranquilla,3658.0,7.75,2026-04-01
Yuca*,Barranquilla,2102.0,-0.28,2026-04-01
Arroz de primera,Barranquilla,3346.0,-1.06,2026-04-01
Fríjol seco*,Barranquilla,6760.0,-2.85,2026-04-01
Lenteja importada,Barranquilla,4697.0,-7.3,2026-04-01
Maíz blanco trillado,Barranquilla,2400.0,-2.36,2026-04-01
Queso costeño,Barranquilla,20700.0,-0.24,2026-04-01
"Carne de cerdo, lomo sin hueso",Barranquilla,20467.0,-0.08,2026-04-01
"Carne de res, bola de pierna",Barranquilla,32433.0,-0.21,2026-04-01
Pechuga de pollo,Barranquilla,13060.0,0.08,2026-04-01
Aceite vegetal mezcla**,Barranquilla,10055.0,0.29,2026-04-01
Azúcar sulfitada,Barranquilla,2978.0,-0.57,2026-04-01
Café molido,Barranquilla,55164.0,-0.41,2026-04-01
Galletas saladas,Barranquilla,17471.0,-0.75,2026-04-01
Harina de trigo,Barranquilla,2172.0,0.42,2026-04-01
Harina precocida de maíz,Barranquilla,2900.0,0.42,2026-04-01
Jugo instantáneo (sobre),Barranquilla,86033.0,-0.61,2026-04-01
Lomitos de atún en lata,Barranquilla,41971.0,0.0,2026-04-01
Margarina,Barranquilla,19278.0,0.98,2026-04-01
Mayonesa doy pack,Barranquilla,19720.0,-0.2,2026-04-01
Panela*,Barranquilla,4319.0,-4.53,2026-04-01
Pastas alimenticias,Barranquilla,6018.0,0.22,2026-04-01
Sal yodada,Barranquilla,2583.0,0.31,2026-04-01
Salsa de tomate doy pack,Barranquilla,19999.0,0.42,2026-04-01
Sardinas en lata,Barranquilla,14111.0,-1.75,2026-04-01
Ahuyama,Bogotá,1641.0,8.32,2026-04-01
Arveja verde en vaina,Bogotá,6123.0,11.86,2026-04-01
Cebolla cabezona blanca,Bogotá,1786.0,56.26,2026-04-01
Cebolla junca,Bogotá,2945.0,-22.23,2026-04-01
Chócolo mazorca,Bogotá,1335.0,-7.42,2026-04-01
Fríjol verde*,Bogotá,4723.0,4.98,2026-04-01
Habichuela,Bogotá,4369.0,33.08,2026-04-01
Lechuga Batavia,Bogotá,1865.0,17.22,2026-04-01
Pepino cohombro,Bogotá,2223.0,-3.93,2026-04-01
Pimentón,Bogotá,5784.0,2.15,2026-04-01
Remolacha,Bogotá,1855.0,-10.69,2026-04-01
Tomate*,Bogotá,4540.0,5.31,2026-04-01
Zanahoria,Bogotá,2187.0,29.64,2026-04-01
Aguacate papelillo,Bogotá,11035.0,7.09,2026-04-01
Banano*,Bogotá,2540.0,-5.82,2026-04-01
Coco,Bogotá,6194.0,-1.34,2026-04-01
Granadilla,Bogotá,8204.0,-0.42,2026-04-01
Guayaba pera,Bogotá,4320.0,45.45,2026-04-01
Limón Tahití,Bogotá,3818.0,2.52,2026-04-01
Lulo,Bogotá,5609.0,-0.55,2026-04-01
Mandarina*,Bogotá,6067.0,-35.76,2026-04-01
Mango Tommy,Bogotá,4963.0,-5.66,2026-04-01
Manzana verde importada,Bogotá,10137.0,-7.79,2026-04-01
Maracuyá,Bogotá,4477.0,-25.72,2026-04-01
Mora de Castilla,Bogotá,6554.0,2.21,2026-04-01
Naranja*,Bogotá,2508.0,-4.17,2026-04-01
Papaya*,Bogotá,1455.0,-31.59,2026-04-01
Pera importada,Bogotá,6535.0,-13.49,2026-04-01
Piña gold,Bogotá,2656.0,-3.17,2026-04-01
Tomate de árbol,Bogotá,3539.0,6.21,2026-04-01
Uva red globe nacional,Bogotá,8789.0,6.61,2026-04-01
Arracacha*,Bogotá,3803.0,6.83,2026-04-01
Papa negra*,Bogotá,1592.0,-3.86,2026-04-01
Papa criolla limpia,Bogotá,6184.0,28.33,2026-04-01
Plátano hartón verde,Bogotá,3324.0,-14.59,2026-04-01
Yuca*,Bogotá,4204.0,2.81,2026-04-01
Arroz de primera,Bogotá,3095.0,0.39,2026-04-01
Arveja verde seca importada,Bogotá,3374.0,-8.29,2026-04-01
Fríjol seco*,Bogotá,11395.0,11.56,2026-04-01
Garbanzo importado,Bogotá,8794.0,4.62,2026-04-01
Lenteja importada,Bogotá,3904.0,3.83,2026-04-01
Maíz blanco trillado,Bogotá,2221.0,5.26,2026-04-01
Huevo tipo A**,Bogotá,422.0,5.5,2026-04-01
Queso costeño,Bogotá,21250.0,11.84,2026-04-01
"Carne de cerdo, lomo sin hueso",Bogotá,20906.0,-0.68,2026-04-01
"Carne de res, bola de pierna",Bogotá,32625.0,0.54,2026-04-01
Pechuga de pollo,Bogotá,18663.0,0.5,2026-04-01
Aceite vegetal mezcla**,Bogotá,8796.0,2.22,2026-04-01
Azúcar sulfitada,Bogotá,3309.0,2.22,2026-04-01
Café molido,Bogotá,51504.0,1.08,2026-04-01
Galletas saladas,Bogotá,18612.0,0.18,2026-04-01
Harina de trigo,Bogotá,2782.0,2.58,2026-04-01
Harina precocida de maíz,Bogotá,4476.0,0.95,2026-04-01
Jugo instantáneo (sobre),Bogotá,85984.0,3.91,2026-04-01
Lomitos de atún en lata,Bogotá,39218.0,1.51,2026-04-01
Margarina,Bogotá,15600.0,0.32,2026-04-01
Mayonesa doy pack,Bogotá,17906.0,1.65,2026-04-01
Panela*,Bogotá,4909.0,-2.98,2026-04-01
Pastas alimenticias,Bogotá,7726.0,3.19,2026-04-01
Sal yodada,Bogotá,1975.0,-1.2,2026-04-01
Salsa de tomate doy pack,Bogotá,18014.0,3.03,2026-04-01
Sardinas en lata,Bogotá,17980.0,-2.63,2026-04-01
Ahuyama,Bucaramanga,1207.0,-7.37,2026-04-01
Arveja verde en vaina,Bucaramanga,6039.0,2.69,2026-04-01
Cebolla cabezona blanca,Bucaramanga,1949.0,53.95,2026-04-01
Cebolla junca,Bucaramanga,2354.0,-6.88,2026-04-01
Chócolo mazorca,Bucaramanga,1325.0,-19.75,2026-04-01
Fríjol verde*,Bucaramanga,4164.0,-8.72,2026-04-01
Habichuela,Bucaramanga,2458.0,-41.99,2026-04-01
Lechuga Batavia,Bucaramanga,1610.0,6.91,2026-04-01
Pepino cohombro,Bucaramanga,1057.0,13.29,2026-04-01
Pimentón,Bucaramanga,4448.0,-8.76,2026-04-01
Remolacha,Bucaramanga,2231.0,-5.63,2026-04-01
Repollo blanco,Bucaramanga,1089.0,-6.36,2026-04-01
Tomate*,Bucaramanga,3987.0,16.34,2026-04-01
Zanahoria,Bucaramanga,1578.0,8.68,2026-04-01
Aguacate papelillo,Bucaramanga,11155.0,2.24,2026-04-01
Banano*,Bucaramanga,2951.0,0.92,2026-04-01
Granadilla,Bucaramanga,9005.0,-0.17,2026-04-01
Guayaba pera,Bucaramanga,3456.0,36.49,2026-04-01
Limón Tahití,Bucaramanga,3293.0,6.81,2026-04-01
Lulo,Bucaramanga,5758.0,5.15,2026-04-01
Mandarina*,Bucaramanga,5306.0,-13.55,2026-04-01
Mango Tommy,Bucaramanga,3749.0,-26.63,2026-04-01
Manzana verde importada,Bucaramanga,9641.0,-7.39,2026-04-01
Maracuyá,Bucaramanga,4487.0,-22.36,2026-04-01
Mora de Castilla,Bucaramanga,5785.0,10.8,2026-04-01
Naranja*,Bucaramanga,1937.0,-7.32,2026-04-01
Papaya*,Bucaramanga,2096.0,-4.77,2026-04-01
Pera importada,Bucaramanga,6722.0,-13.23,2026-04-01
Piña gold,Bucaramanga,2117.0,-19.87,2026-04-01
Tomate de árbol,Bucaramanga,4096.0,7.37,2026-04-01
Uva red globe nacional,Bucaramanga,9674.0,5.23,2026-04-01
Arracacha*,Bucaramanga,1800.0,4.17,2026-04-01
Papa negra*,Bucaramanga,1621.0,1.69,2026-04-01
Papa criolla limpia,Bucaramanga,5553.0,34.23,2026-04-01
Plátano hartón verde,Bucaramanga,4137.0,-7.43,2026-04-01
Yuca*,Bucaramanga,2868.0,5.44,2026-04-01
Arroz de primera,Bucaramanga,3810.0,0.26,2026-04-01
Arveja verde seca importada,Bucaramanga,3714.0,0.87,2026-04-01
Fríjol seco*,Bucaramanga,8715.0,-0.95,2026-04-01
Garbanzo importado,Bucaramanga,5888.0,-1.11,2026-04-01
Lenteja importada,Bucaramanga,4927.0,-4.66,2026-04-01
Huevo tipo A**,Bucaramanga,408.0,10.87,2026-04-01
Queso costeño,Bucaramanga,22767.0,-3.12,2026-04-01
Pechuga de pollo,Bucaramanga,12998.0,1.75,2026-04-01
Azúcar sulfitada,Bucaramanga,3220.0,0.37,2026-04-01
Galletas saladas,Bucaramanga,19758.0,2.42,2026-04-01
Harina de trigo,Bucaramanga,3167.0,-0.16,2026-04-01
Harina precocida de maíz,Bucaramanga,3088.0,0.95,2026-04-01
Lomitos de atún en lata,Bucaramanga,40957.0,0.45,2026-04-01
Margarina,Bucaramanga,16530.0,-0.06,2026-04-01
Mayonesa doy pack,Bucaramanga,19315.0,0.53,2026-04-01
Panela*,Bucaramanga,4740.0,-0.82,2026-04-01
Pastas alimenticias,Bucaramanga,6984.0,-0.07,2026-04-01
Sal yodada,Bucaramanga,2469.0,2.28,2026-04-01
Salsa de tomate doy pack,Bucaramanga,17507.0,-0.68,2026-04-01
Sardinas en lata,Bucaramanga,18111.0,-0.7,2026-04-01
Ahuyama,Cartagena,1492.0,-2.55,2026-04-01
Cebolla cabezona blanca,Cartagena,2292.0,35.22,2026-04-01
Cebolla junca,Cartagena,3646.0,0.3,2026-04-01
Chócolo mazorca,Cartagena,1593.0,-17.07,2026-04-01
Habichuela,Cartagena,3944.0,-25.51,2026-04-01
Lechuga Batavia,Cartagena,2806.0,14.91,2026-04-01
Pepino cohombro,Cartagena,1622.0,1.63,2026-04-01
Pimentón,Cartagena,5495.0,-5.84,2026-04-01
Remolacha,Cartagena,2549.0,0.75,2026-04-01
Repollo blanco,Cartagena,1371.0,7.19,2026-04-01
Tomate*,Cartagena,4046.0,12.23,2026-04-01
Zanahoria,Cartagena,1983.0,10.17,2026-04-01
Aguacate papelillo,Cartagena,12768.0,4.23,2026-04-01
Coco,Cartagena,4671.0,-4.58,2026-04-01
Guayaba pera,Cartagena,3944.0,6.71,2026-04-01
Limón Tahití,Cartagena,5365.0,20.89,2026-04-01
Lulo,Cartagena,6873.0,7.56,2026-04-01
Mandarina*,Cartagena,6932.0,-0.79,2026-04-01
Manzana verde importada,Cartagena,9558.0,-7.05,2026-04-01
Mora de Castilla,Cartagena,6628.0,5.51,2026-04-01
Naranja*,Cartagena,2043.0,2.15,2026-04-01
Papaya*,Cartagena,3464.0,5.64,2026-04-01
Pera importada,Cartagena,6974.0,-16.11,2026-04-01
Piña gold,Cartagena,3315.0,-2.33,2026-04-01
Tomate de árbol,Cartagena,4492.0,5.0,2026-04-01
Uva red globe nacional,Cartagena,9597.0,4.17,2026-04-01
Papa negra*,Cartagena,1645.0,21.67,2026-04-01
Papa criolla limpia,Cartagena,6388.0,22.87,2026-04-01
Plátano hartón verde,Cartagena,2694.0,-10.79,2026-04-01
Yuca*,Cartagena,2100.0,5.63,2026-04-01
Arroz de primera,Cartagena,3369.0,-2.18,2026-04-01
Arveja verde seca importada,Cartagena,4400.0,-2.22,2026-04-01
Fríjol seco*,Cartagena,7875.0,0.0,2026-04-01
Lenteja importada,Cartagena,6210.0,-6.26,2026-04-01
Maíz blanco trillado,Cartagena,2769.0,-0.89,2026-04-01
Huevo tipo A**,Cartagena,447.0,13.16,2026-04-01
Queso costeño,Cartagena,19880.0,0.66,2026-04-01
"Carne de cerdo, lomo sin hueso",Cartagena,15990.0,-0.68,2026-04-01
"Carne de res, bola de pierna",Cartagena,31429.0,2.18,2026-04-01
Pechuga de pollo,Cartagena,12955.0,1.66,2026-04-01
Aceite vegetal mezcla**,Cartagena,9815.0,0.0,2026-04-01
Azúcar sulfitada,Cartagena,2965.0,0.17,2026-04-01
Café molido,Cartagena,51884.0,-0.05,2026-04-01
Galletas saladas,Cartagena,15341.0,1.25,2026-04-01
Harina de trigo,Cartagena,2408.0,0.33,2026-04-01
Harina precocida de maíz,Cartagena,3371.0,3.06,2026-04-01
Jugo instantáneo (sobre),Cartagena,81750.0,0.62,2026-04-01
Mayonesa doy pack,Cartagena,18316.0,0.0,2026-04-01
Panela*,Cartagena,4918.0,-0.41,2026-04-01
Pastas alimenticias,Cartagena,6583.0,0.0,2026-04-01
Sal yodada,Cartagena,1116.0,1.45,2026-04-01
Salsa de tomate doy pack,Cartagena,18316.0,0.0,2026-04-01
Sardinas en lata,Cartagena,11154.0,1.46,2026-04-01
Ahuyama,Cali,1221.0,-1.53,2026-04-01
Arveja verde en vaina,Cali,4704.0,-13.07,2026-04-01
